CHEMICAL NAME,CAS No.,RTECS No.
Chromic oxide,1333-82-0 (CrO3),GB6650000 (CrO3)
Chromic oxychloride,14977-61-8,GB5775000
Chromium,7440-47-3,GB4200000
Chromium chloride oxide,14977-61-8,GB5775000
Chromium dichloride dioxide,14977-61-8,GB5775000
Chromium dioxide dichloride,14977-61-8,GB5775000
Chromium dioxychloride,14977-61-8,GB5775000
Chromium metal*,7440-47-3,GB4200000
Chromium oxychloride,14977-61-8,GB5775000
Chromium trioxide,1333-82-0 (CrO3),GB6650000 (CrO3)
Chromium(II) compounds (as Cr)*,,
Chromium(III) compounds (as Cr)*,,
Chromium(VI) oxide (1:3),1333-82-0 (CrO3),GB6650000 (CrO3)
Chromyl chloride*,14977-61-8,GB5775000
Chrysene,65996-93-2,GF8655000
Chrysotile,1332-21-4,CI6475000
CI-2,12108-13-3,OP1450000
Cinerin I or II,8003-34-7,UR4200000
Clay,1332-58-7,GF1670500
Clopidol*,2971-90-6,UU7711500
CMME,107-30-2,KN6650000
Coal dust*,,GF8281000
Coal mine dust,,GF8281000
Coal tar,65996-93-2,GF8655000
Coal tar pitch volatiles*,65996-93-2,GF8655000
Cobalt carbonyl (as Co)*,10210-68-1,GG0300000
Cobalt hydrocarbonyl (as Co)*,16842-03-8,GG0900000
Cobalt metal dust,7440-48-4,GF8750000
Cobalt metal dust and fume (as Co)*,7440-48-4,GF8750000
Cobalt metal fume,7440-48-4,GF8750000
Cobalt octacarbonyl,10210-68-1,GG0300000
Cobalt tetracarbonyl dimer,10210-68-1,GG0300000
Coke oven emissions*,,GH0346000
Colloidal manganese,7439-96-5 (metal),OO9275000 (metal)
Colloidal mercury,7439-97-6 (metal),OV4550000 (metal)
Cologne spirit,64-17-5,KQ6300000
Columbian spirits,67-56-1,PC1400000
Combustion Improver-2,12108-13-3,OP1450000
Compressed petroleum gas,68476-85-7,SE7545000
Confectioner's sugar,57-50-1,WN6500000
"Copper (dusts and mists, as Cu)*",7440-50-8,GL5325000
Copper fume (as Cu)*,1317-38-0 (CuO),GL7900000 (CuO)
Copper metal dusts,7440-50-8,GL5325000
Copper metal fumes,7440-50-8,GL5325000
Copper monoxide fume,1317-38-0 (CuO),GL7900000 (CuO)
Copper(II) oxide fume,1317-38-0 (CuO),GL7900000 (CuO)
Corn starch,9005-25-8,GM5090000
Corundum,1302-74-5 (corundum),GN0231000 (corundum)
Cotton dust (raw)*,,GN2275000
Coyden®,2971-90-6,UU7711500
Crag® herbicide*,136-78-7,KK4900000
Crag® herbicide No. 1,136-78-7,KK4900000
Cristobalite,14808-60-7,VV7330000
Crocidolite (Riebeckite),1332-21-4,CI6475000
Crotonaldehyde*,4170-30-3,GP9499000
Crude solvent coal tar naphtha,8030-30-6,DE3030000
Crufomate*,299-86-5,TB3850000
Cryocide,15096-52-3,WA9625000
Cryodust,15096-52-3,WA9625000
Cryolite,15096-52-3,WA9625000
CS,2698-41-1,OO3675000
Cucumber dust,7778-44-1,CG0830000
Cumene*,98-82-8,GR8575000
Cumol,98-82-8,GR8575000
Cupric oxide fume,1317-38-0 (CuO),GL7900000 (CuO)
Cyanamide [Calcium cyanamide],156-62-7,GS6000000
Cyanamide [Hydrogen cyanamide]*,420-04-2,GS5950000
Cyanoacetonitrile,109-77-3,OO3150000
Cyanoethane,107-12-0,UF9625000
Cyanoethylene,107-13-1,AT5250000
Cyanogen*,460-19-5,GT1925000
Cyanogen chloride*,506-77-4,GT2275000
Cyanogen nitride,420-04-2,GS5950000
Cyanohydrin-2-propanone,75-86-5,OD9275000
Cyanomethane,75-05-8,AL7700000
Cyanomethanol,107-16-4,AM0350000
Cyclohexane*,110-82-7,GU6300000
Cyclohexanethiol*,1569-69-3,GV7525000
Cyclohexanol*,108-93-0,GV7875000
Cyclohexanone*,108-94-1,GW1050000
Cyclohexene*,110-83-8,GW2500000
Cyclohexyl alcohol,108-93-0,GV7875000
Cyclohexyl ketone,108-94-1,GW1050000
Cyclohexylamine*,108-91-8,GX0700000
Cyclohexylmercaptan,1569-69-3,GV7525000
Cyclohexylmethane,108-87-2,GV6125000
Cyclohexylthiol,1569-69-3,GV7525000
Cyclonite*,121-82-4,XY9450000
Cyclopentadiene*,542-92-7,GY1000000
Cyclopentadienyl tricarbonyl manganese,12079-65-1,OO9720000
Cyclopentadienylmanganese tricarbonyl,12079-65-1,OO9720000
Cyclopentane*,287-92-3,GY2390000
Cyclotrimethylenetrinitramine,121-82-4,XY9450000
Cyhexatin*,13121-70-5,WH8750000
di-mu-Carbonylhexacarbonyldicobalt,10210-68-1,GG0300000
epsilon-Caprolactam,105-60-2,CM3675000
m-Cresol*,108-39-4,GO6125000
m-Cresylic acid,108-39-4,GO6125000
meta-Cresol,108-39-4,GO6125000
o-Chlorobenzylidene malononitrile*,2698-41-1,OO3675000
o-Chlorostyrene*,2039-87-4,WL4160000
o-Chlorotoluene*,95-49-8,XS9000000
o-Cresol*,95-48-7,GO6300000
o-Cresylic acid,95-48-7,GO6300000
ortho-Cresol,95-48-7,GO6300000
para-Cresol,106-44-5,GO6475000
p-Chloronitrobenzene,100-00-5,CZ1050000
p-Cresol*,106-44-5,GO6475000
p-Cresylic acid,106-44-5,GO6475000
a-Chloroacetophenone*,532-27-4,AM6300000
"α,α-Dichloropropionic acid",75-99-0,UF0690000
"1,1-DCE",75-35-4,KV9275000
"1,1-Dichloro-1-nitroethane*",594-72-9,KI1050000
"1,1-Dichloroethane*",75-34-3,KI0175000
"1,1-Dichloroethene",75-35-4,KV9275000
"1,1-Dichloroethylene",75-35-4,KV9275000
"1,1-Difluoroethene",75-38-7,KW0560000
"1,1-Difluoroethylene",75-38-7,KW0560000
"1,1'-Dimethyl-4,4'-bipyridinium dichloride",1910-42-5,DW2275000
"1,1-Dimethylhydrazine*",57-14-7,MV2450000
"1,2-Diaminoethane",107-15-3,KH8575000
"1,2-Dibromo-2,2-dichloroethyl dimethyl phosphate",300-76-5,TB9450000
"1,2-Dibromo-3-chloropropane*",96-12-8,TX8750000
"1,2-Dibromoethane",106-93-4,KH9275000
"1,2-Dichlorobenzene",95-50-1,CZ4500000
"1,2-Dichloroethane",107-06-2,KI0525000
"1,2-Dichloroethylene*",540-59-0,KV9360000
"1,2-Dichloropropane",78-87-5,TX9625000
"1,2-Dichlorotetrafluoroethane",76-14-2,KI1101000
"1,2-Dicyanoethane",110-61-2,WN3850000
"1,2-Difluoro-1,1,2,2-tetrachloroethane",76-12-0,KI1420000
"1,2-Dihydroxybenzene",120-80-9,UX1050000
"1,2-Dihydroxyethane",107-21-1,KW2975000
"1,2-Dimethylbenzene",95-47-6,ZE2450000
"1,2-Dinitrobenzene",528-29-0,CZ7450000
"1,2-Diphenylbenzene",84-15-1,WZ6472000
"1,3-Diamino-4-methoxybenzene",615-05-4,BZ8580500
"1,3-Dichloro-1-propene",542-75-6,UC8310000
"1,3-Dichloro-5,5-dimethylhydantoin*",118-52-5,MU0700000
"1,3-Dichloropropene*",542-75-6,UC8310000
"1,3-Dichloropropylene",542-75-6,UC8310000
"1,3-Dicyanobenzene",626-17-5,CZ1900000
"1,3-Dicyclopentadiene dimer",77-73-6,PC1050000
"1,3-Dihydroxybenzene",108-46-3,VG9625000
"1,3-Dimethylbenzene",108-38-3,ZE2275000
"1,3-Dimethylbutyl acetate",108-84-9,SA7525000
"1,3-Dinitrobenzene",99-65-0,CZ7350000
"1,3-Dioxo-2-pivaloy-lindane",83-26-1,NK6300000
"1,3-Diphenylbenzene",92-06-8,WZ6470000
"1,4-Diaminobenzene",106-50-3,SS8050000
"1,4-Dichlorobenzene",106-46-7,CZ4550000
"1,4-Dicyanobutane",111-69-3,AV2625000
"1,4-Dihydroxybenzene",123-31-9,MX3500000
"1,4-Dimethylbenzene",106-42-3,ZE2625000
"1,4-Dinitrobenzene",100-25-4,CZ7525000
"1,4-Dioxane",123-91-1,JG8225000
"1,4-Diphenylbenzene",92-94-4,WZ6475000
"1,5-Diisocyanatonaphthalene",3173-72-6,NQ9600000
"1,6-Diisocyanatohexane",822-06-0,MO1740000
1-Decanethiol*,143-10-2,
1-Dodecanethiol*,112-55-0,JR3155000
1-Dodecyl mercaptan,112-55-0,JR3155000
"2-(2,4-Dichlorophenoxy)ethyl sodium sulfate",136-78-7,KK4900000
"2,2'-Diaminodiethylamine",111-40-0,IE1225000
"2,2-Dichloro-1,1-difluoro-1-methoxyethane",76-38-0,KN7820000
"2,2-Dichloro-1,1-difluoroethyl methyl ether",76-38-0,KN7820000
"2,2'-Dichlorodiethyl ether",111-44-4,KN0875000
"2,2'-Dichloroethyl ether",111-44-4,KN0875000
"2,2-Dichloropropanoic acid",75-99-0,UF0690000
"2,2-Dichloropropionic acid*",75-99-0,UF0690000
"2,2-Dichlorovinyl dimethyl phosphate",62-73-7,TC0350000
"2,2-Difluoro-1,1,1,2-tetrachloroethane",76-11-9,KI1425000
"2,2'-Dihydroxydiethyamine",111-42-2,KL2975000
"2,2-Dimethylbutane",,
"2,3-Dihydro-2,2-dimethyl-7-benzofuranyl methylcarbamate",1563-66-2,FB9450000
"2,3-Dimethylbutane",,
"2,3-p-Dioxanethiol-S,S-bis(O,O-diethyl phosphoro-dithioate)",78-34-2,TE3350000
"2,4-D*",94-75-7,AG6825000
"2,4-Diaminoanisole (and its salts)*",615-05-4,BZ8580500
"2,4-Dichlorophenoxyacetic acid",94-75-7,AG6825000
"2,4-Dihydroxy-2-methylpentane",107-41-5,SA0810000
"2,4-Dimethylaniline",1300-73-8,ZE8575000
"2,6-Dimethyl-4-heptanone",108-83-8,MJ5775000
"2,6-Di-tert-butyl-p-cresol*",128-37-0,GO7875000
2-Dibutylaminoethanol,102-81-8,KK3850000
2-Diethylaminoethanol*,100-37-8,KK5075000
2-Diethylaminoethyl alcohol,100-37-8,KK5075000
2-Dimethyl-cis-2-dimethylcarbamoyl-1-methylvinylphosphate,141-66-2,TC3850000
2-Di-N-butylaminoethanol,102-81-8,KK3850000
2-Di-N-butylaminoethyl alcohol,102-81-8,KK3850000
2-N-Dibutylaminoethanol*,102-81-8,KK3850000
"3-(3,4-Dichlorophenyl)-1,1-dimethylurea",330-54-1,YS8925000
3-(Dimethylamino)propionitrile,1738-25-6,UG1575000
"3,3'-Dianisidine",119-90-4,DD0875000
"3,3'-Dichloro-4,4'-biphenyldiamine",91-94-1,DD0525000
"3,3'-Dichloro-4,4'-diaminobiphenyl",91-94-1,DD0525000
"3,3'-Dichloro-4,4'-diaminodiphenylmethane",101-14-4,CY1050000
"3,3'-Dichlorobenzidine (and its salts)*",91-94-1,DD0525000
"3,3'-Dichlorobiphenyl-4,4'-diamine",91-94-1,DD0525000
"3,3'-Dimethoxybenzidine",119-90-4,DD0875000
"3,3'-Dimethyl-4,4'-diphenyldiamine",119-93-7,DD1225000
"3,3'-Dimethylbenzidine",119-93-7,DD1225000
"3,5-Dichloro-2,6-dimethyl-4-pyridinol",2971-90-6,UU7711500
"3,5-Dinitro-2-hydroxytoluene",534-52-1,GO9625000
"3,5-Dinitro-o-toluamide",148-01-6,XS4200000
"4,4'-Diamino-3,3'-dichlorobiphenyl",91-94-1,DD0525000
"4,4'-Diamino-3,3'-dimethylbiphenyl",119-93-7,DD1225000
"4,4'-Diaminobiphenyl",92-87-5,DC9625000
"4,4'-Diaminodiphenylmethane",101-77-9,BY5425000
"4,4'-Diphenylmethane diisocyanate",101-68-8,NQ9350000
"4,4'-Diphenylmethanediamine",101-77-9,BY5425000
"4,5-Dithia-1-octene",2179-59-1,JO0350000
"4,6-Dinitro-2-methyl phenol",534-52-1,GO9625000
"4,6-Dinitro-o-cresol",534-52-1,GO9625000
4-Dimethylaminoazobenzene*,60-11-7,BX7350000
bis(2-(Dimethylamino)ethyl)ether*,3033-62-3,KR9460000
bis(Diethylthiocarbamoyl) disulfide,97-77-8,JO1225000
bis(Dimethylthiocarbamoyl) disulfide,137-26-8,JO1400000
DAB,60-11-7,BX7350000
DACPM,101-14-4,CY1050000
Dactin,118-52-5,MU0700000
Dalapon,75-99-0,UF0690000
Dasanit®,115-90-2,TF3850000
DBCP,96-12-8,TX8750000
DBP,84-74-2,TI0875000
DCA,7572-29-4,AP1080000
DCP,542-75-6,UC8310000
DCPD,77-73-6,PC1050000
DDH,118-52-5,MU0700000
DDT*,50-29-3,KJ3325000
DDVP,62-73-7,TC0350000
DEA,111-42-2,KL2975000
Decaborane*,17702-41-9,HD1400000
Decaboron tetradecahydride,17702-41-9,HD1400000
"Decachlorooctahydro-1,3,4-metheno-2H-cyclobuta(cd)-pentalen-2-one",143-50-0,PC8575000
Decachlorooctahydro-kepone-2-one,143-50-0,PC8575000
"Decachlorotetrahydro-4,7-methanoindeneone",143-50-0,PC8575000
Decylmercaptan,143-10-2,
DEHP,117-81-7,TI0350000
DEK,96-22-0,SA8050000
Delnav®,78-34-2,TE3350000
Demeton*,8065-48-3,TF3150000
Demeton methyl,8022-00-2,TG1760000
DEP,84-66-2,TI1050000
DETA,111-40-0,IE1225000
DGE,2238-07-5,KN2350000
"Di(2,3-epoxypropyl) ether",2238-07-5,KN2350000
Di(2-ethylhexyl)phthalate,117-81-7,TI0350000
Di(2-hydroxyethyl)amine,111-42-2,KL2975000
Diacetone,123-42-2,SA9100000
Diacetone alcohol*,123-42-2,SA9100000
Diallyl ether dioxide,2238-07-5,KN2350000
Diamine,302-01-2,MU7175000
Diaminoditolyl,119-93-7,DD1225000
Diaminotoluene,"25376-45-895-80-7 (2,4-TDA)","XS9445000,XS9625000 (2,4-TDA)"
Dianilinomethane,101-77-9,BY5425000
Dianisidine,119-90-4,DD0875000
Diatomaceous earth,7631-86-9,VV7310000
Diatomaceous silica,7631-86-9,VV7310000
Diatomite,7631-86-9,VV7310000
Diazide®,333-41-5,TF3325000
Diazinon®*,333-41-5,TF3325000
Diazirine,334-88-3,PA7000000
Diazomethane*,334-88-3,PA7000000
Dibasic zinc stearate,557-05-1,ZH5200000
Dibenzothiazine,92-84-2,SN5075000
Dibenzoyl peroxide,94-36-0,DM8575000
DIBK,108-83-8,MJ5775000
Diborane*,19287-45-7,HQ9275000
Diboron hexahydride,19287-45-7,HQ9275000
Dibrom®,300-76-5,TB9450000
Dibromochloropropane,96-12-8,TX8750000
Dibromodifluoromethane,75-61-6,PA7525000
Dibutyl acid o-phosphate,107-66-4,TB9605000
Dibutyl phosphate*,107-66-4,TB9605000
Dibutyl phosphoric acid,107-66-4,TB9605000
Dibutyl phthalate*,84-74-2,TI0875000
"Dibutyl-1,2-benzene-dicarboxylate",84-74-2,TI0875000
Dibutylaminoethanol,102-81-8,KK3850000
Dibutylated hydroxytoluene,128-37-0,GO7875000
"Dichloro-1,2-propane",78-87-5,TX9625000
Dichloroacetylene*,7572-29-4,AP1080000
Dichlorobenzidine base,91-94-1,DD0525000
Dichlorocide,106-46-7,CZ4550000
Dichlorodifluoromethane*,75-71-8,PA8200000
Dichlorodimethyl ether,542-88-1,KN1575000
Dichlorodioxochromium,14977-61-8,GB5775000
Dichlorodiphenyltrichloroethane,50-29-3,KJ3325000
Dichloroethyl ether*,111-44-4,KN0875000
Dichloroethyne,7572-29-4,AP1080000
Dichlorofluoromethane,75-43-4,PA8400000
Dichloromethane,75-09-2,PA8050000
Dichloromethyl ether,542-88-1,KN1575000
Dichloromonofluoromethane*,75-43-4,PA8400000
Dichloronitroethane,594-72-9,KI1050000
Dichlorophenoxyacetic acid,94-75-7,AG6825000
Dichlorotetrafluoroethane*,76-14-2,KI1101000
Dichlorvos*,62-73-7,TC0350000
Dicobalt carbonyl,10210-68-1,GG0300000
Dicobalt Octacarbonyl,10210-68-1,GG0300000
Dicrotophos*,141-66-2,TC3850000
Dicyan,460-19-5,GT1925000
Dicyanogen,460-19-5,GT1925000
Dicyanomethane,109-77-3,OO3150000
"Dicyclohexylmethane 4,4'-diisocyanate",5124-30-1,NQ9250000
Dicyclopentadiene*,77-73-6,PC1050000
Dicyclopentadienyl iron*,102-54-5,LK0700000
Dieldrin*,60-57-1,IO1750000
Diesel exhaust*,,HZ1755000
Diethamine,109-89-7,HZ8750000
Diethanolamine*,111-42-2,KL2975000
Diethyl,106-97-8,EJ4200000
Diethyl (dimethoxyphosphinothioylthio) succinate,121-75-5,WM8400000
Diethyl benzene,1321-74-0 (mixed isomers),CZ9370000
Diethyl ester of phthalic acid,84-66-2,TI1050000
Diethyl ether,60-29-7,KI5775000
Diethyl ketone*,96-22-0,SA8050000
Diethyl oxide,60-29-7,KI5775000
Diethyl parathion,56-38-2,TF4550000
Diethyl phthalate*,84-66-2,TI1050000
Diethyl-(2-hydroxyethyl)amine,100-37-8,KK5075000
Diethylamine*,109-89-7,HZ8750000
Diethylaminoethanol,100-37-8,KK5075000
Diethylene dioxide,123-91-1,JG8225000
Diethylene ether,123-91-1,JG8225000
Diethylene imidoxide,110-91-8,QD6475000
Diethylene oxide,109-99-9,LU5950000
Diethylene oximide,110-91-8,QD6475000
Diethylenetriamine*,111-40-0,IE1225000
Diethylmethylmethane,,
Difluorine monoxide,7783-41-7,RS2100000
"Difluoro-1,1-ethylene",75-38-7,KW0560000
Difluorochloromethane,75-45-6,PA6390000
Difluorodibromomethane*,75-61-6,PA7525000
Difluorodichloromethane,75-71-8,PA8200000
Difolatan®,2425-06-1,GW4900000
Diglycidyl ether*,2238-07-5,KN2350000
Dihydroxybenzene,123-31-9,MX3500000
Diisobutyl ketone*,108-83-8,MJ5775000
Diisopropyl,,
Diisopropyl ether,108-20-3,TZ5425000
Diisopropyl oxide,108-20-3,TZ5425000
Diisopropylamine*,108-18-9,IM4025000
Dimazine,57-14-7,MV2450000
Dimethoxymethane,109-87-5,PA8750000
Dimethyl acetamide*,127-19-5,AB7700000
Dimethyl carbamoyl chloride*,79-44-7,FD4200000
Dimethyl carbinol,67-63-0,NT8050000
"Dimethyl ester of 1,2-benzenedicarboxylic acid",131-11-3,TI1575000
Dimethyl ester of sulfuric acid,77-78-1,WS8225000
Dimethyl formamide,68-12-2,LQ2100000
Dimethyl ketone,67-64-1,AL3150000
Dimethyl methane,74-98-6,TX2275000
Dimethyl sulfate*,77-78-1,WS8225000
"Dimethyl-1,2-dibromo-2,2-dichlorethyl phosphate*",300-76-5,TB9450000
Dimethylacetone,96-22-0,SA8050000
Dimethylamine*,124-40-3,IP8750000
Dimethylamine (anhydrous),124-40-3,IP8750000
Dimethylaminobenzene,1300-73-8,ZE8575000
Dimethylaminopropionitrile*,1738-25-6,UG1575000
"Dimethylaniline [N,N-Dimethylaniline]",121-69-7,BX4725000
Dimethylaniline [Xylidene],1300-73-8,ZE8575000
Dimethylcarbamic chloride,79-44-7,FD4200000
Dimethylchloroether,107-30-2,KN6650000
Dimethylene oxide,75-21-8,KX2450000
Dimethyleneimine,151-56-4,KX5075000
Dimethylenimine,151-56-4,KX5075000
Dimethylformamide*,68-12-2,LQ2100000
Dimethylnitromethane,79-46-9,TZ5250000
Dimethylnitrosamine,62-75-9,IQ0525000
Dimethylphthalate*,131-11-3,TI1575000
Dimethylsulfate,77-78-1,WS8225000
Di-n-butyl hydrogen phosphate,107-66-4,TB9605000
Di-n-butyl phthalate,84-74-2,TI0875000
Dinile,110-61-2,WN3850000
Dinitolmide*,148-01-6,XS4200000
Dinitrogen monoxide,10024-97-2,QX1350000
Dinitrogen tetroxide,10102-44-0,QW9800000
Dinitro-o-cresol*,534-52-1,GO9625000
Dinitrotoluene*,25321-14-6,XT1300000
Dinitrotoluol,25321-14-6,XT1300000
Diolamine,111-42-2,KL2975000
Dioxan,123-91-1,JG8225000
Dioxane*,123-91-1,JG8225000
Dioxane phosphate,78-34-2,TE3350000
Dioxathion*,78-34-2,TE3350000
Dioxin,1746-01-6,HP3500000
Dioxine,1746-01-6,HP3500000
DIPA,108-18-9,IM4025000
Diphenyl*,92-52-4,DU8050000
Diphenyl ether,101-84-8,KN8970000
Diphenyl oxide,101-84-8,KN8970000
Diphenyl oxide-diphenyl mixture,8004-13-5,DV1500000
Diphenylamine*,122-39-4,JJ7800000
Dipropyl ketone*,123-19-3,MJ5600000
Dipropylene glycol methyl ether*,34590-94-8,JM1575000
Dipropylene glycol monomethyl ether,34590-94-8,JM1575000
Diquat (Diquat dibromide)*,85-00-7,JM5690000
Diquat dibromide,85-00-7,JM5690000
Direx®,330-54-1,YS8925000
Di-sec octyl phthalate*,117-81-7,TI0350000
Disodium pyrosulfite,7681-57-4,UX8225000
Disodium salt of boric acid,1330-43-4,ED4588000
Disodium tetraborate,1330-43-4,ED4588000
Disulfiram*,97-77-8,JO1225000
Disulfoton*,298-04-4,TD9275000
Disulfur decafluoride,5714-22-7,WS4480000
Di-Syston®,298-04-4,TD9275000
Dithion®,3689-24-5,XN4375000
Diuron*,330-54-1,YS8925000
Divanadium pentoxide dust,1314-62-1,YW2450000
Divanadium pentoxide fume,1314-62-1,YW2460000
Divinyl,106-99-0,EI9275000
Divinyl benzene*,1321-74-0 (mixed isomers),CZ9370000
DMAC,127-19-5,AB7700000
DMCC,79-44-7,FD4200000
DMDI,5124-30-1,NQ9250000
DMDT,72-43-5,KJ3675000
DMF,68-12-2,LQ2100000
DMH,57-14-7,MV2450000
DMNA,62-75-9,IQ0525000
DMP,131-11-3,TI1575000
DNC,534-52-1,GO9625000
DNOC,534-52-1,GO9625000
DNT,25321-14-6,XT1300000
Dodecyl mercaptan,112-55-0,JR3155000
DOP,117-81-7,TI0350000
Doped bismuth sesquitelluride,,
Doped bismuth telluride,,
Doped bismuth tritelluride,,
Doped tellurobismuthite,,
Dowanol® 50B,34590-94-8,JM1575000
Dowanol® EB,111-76-2,KJ8575000
Dowco® 132,299-86-5,TB3850000
Dowtherm® 209,107-98-2,UB7700000
Dowtherm® A,8004-13-5,DV1500000
DPA,122-39-4,JJ7800000
DPK,123-19-3,MJ5600000
Dried calcium sulfate,26499-65-0,TP0700000
Dry cleaning safety solvent,8052-41-3,WJ8925000
Dry ice,124-38-9,FF6400000
Dursban®,2921-88-2,TF6300000
DVB,1321-74-0 (mixed isomers),CZ9370000
Dyfonate®,944-22-9,TA5950000
Dyphonate,944-22-9,TA5950000
m-Dicyanobenzene,626-17-5,CZ1900000
m-Dihydroxybenzene,108-46-3,VG9625000
m-Dinitrobenzene*,99-65-0,CZ7350000
m-Diphenylbenzene,92-06-8,WZ6470000
meta-Dinitrobenzene,99-65-0,CZ7350000
"N,N-Dibutylethanolamine",102-81-8,KK3850000
"N,N-Diethylamine",109-89-7,HZ8750000
"N,N-Diethylethanolamine",100-37-8,KK5075000
"N,N-Dimethyl acetamide",127-19-5,AB7700000
"N,N'-Dimethyl-4,4'-bipyridinium dichloride",1910-42-5,DW2275000
"N,N-Dimethyl-4-aminoazobenzene",60-11-7,BX7350000
"N,N-Dimethylamino-3-propionitrile",1738-25-6,UG1575000
"N,N-Dimethylaniline*",121-69-7,BX4725000
"N,N-Dimethylbenzeneamine",121-69-7,BX4725000
"N,N-Dimethylcarbamoyl chloride",79-44-7,FD4200000
"N,N-Dimethylformamide",68-12-2,LQ2100000
"N,N-Dimethylmethanamine",75-50-3,PA0350000
"N,N-Dimethylnitrosamine",62-75-9,IQ0525000
"N,N-Dimethylphenylamine",121-69-7,BX4725000
"N,N-Diphenylaniline",603-34-9,YK2680000
"N,N-Diphenylbenzenamine",603-34-9,YK2680000
n-Decylmercaptan,143-10-2,
n-Dodecyl mercaptan,112-55-0,JR3155000
"o,o'-Dichlorobenzidine",91-94-1,DD0525000
"O,O-Diethyl O-(p-methylsulfinyl)phenyl)phosphorothioate",115-90-2,TF3850000
"O,O-Diethyl O-3,5,6-trichloro-2-pyridyl phosphorothioate",2921-88-2,TF6300000
"O,O-Diethyl S-(ethylthio)methylphosphorodithioate",298-02-2,TD9450000
"O,O-Diethyl S-2-(ethylthio)-ethyl phosphorodithioate",298-04-4,TD9275000
"O,O-Diethyl S-ethylthiomethylthiothionophosphate",298-02-2,TD9450000
"O,O-Diethyl-O(p-nitrophenyl) phosphorothioate",56-38-2,TF4550000
"O,O-Diethyl-O-2-isopropyl-4-methyl-6-pyrimidinyl-phosphorothioate",333-41-5,TF3325000
"O,O-Dimethyl 2-ethylmercaptoethyl thiophosphate",8022-00-2,TG1760000
"O,O-Dimethyl O-(2,4,5-trichlorophenyl) phosphorothioate",299-84-3,TG0525000
"O,O-Dimethyl O-3-methyl-4-methylthiophenyl phosphorothioate",55-38-9,TF9625000
"O,O-Dimethyl-O-p-nitrophenylphosphorothioate",298-00-0,TG0175000
"O,O-Dimethyl-S-4-oxo-1,2,3-benzotriazin-3(4H)-ylmethyl phosphorodithioate",86-50-0,TE1925000
o-DCB,95-50-1,CZ4500000
o-Dianisidine*,119-90-4,DD0875000
o-Dichlorobenzene*,95-50-1,CZ4500000
o-Dichlorobenzol,95-50-1,CZ4500000
o-Dihydroxybenzene,120-80-9,UX1050000
o-Dinitrobenzene*,528-29-0,CZ7450000
o-Diphenylbenzene,84-15-1,WZ6472000
O-O-Diethyl-O(and S)-2-(ethylthio)ethyl phosphorothioate mixture,8065-48-3,TF3150000
ortho-Dinitrobenzene,528-29-0,CZ7450000
"p,p'-DDT",50-29-3,KJ3325000
"p,p'-Dimethoxydiphenyltrichloroethane",72-43-5,KJ3675000
para-Dinitrobenzene,100-25-4,CZ7525000
p-DCB,106-46-7,CZ4550000
p-Diaminobenzene,106-50-3,SS8050000
p-Diaminodiphenyl,92-87-5,DC9625000
p-Dichlorobenzene*,106-46-7,CZ4550000
p-Dimethylaminoazobenzene,60-11-7,BX7350000
p-Dinitrobenzene*,100-25-4,CZ7525000
p-Dioxane,123-91-1,JG8225000
"p-Dioxane-2,3-diyl ethyl phosphorodithioate",78-34-2,TE3350000
p-Diphenylbenzene,92-94-4,WZ6475000
sym-Dichloroethylene,540-59-0,KV9360000
sym-Diisopropyl acetone,108-83-8,MJ5775000
tris(Dimethyldithiocarbamato)iron,14484-64-1,NO8750000
"1,1'-Ethylene-2,2'-bipyridyllium dibromide",85-00-7,JM5690000
"1,1-Ethylidene dichloride",75-34-3,KI0175000
"1,2-Epoxy ethane",75-21-8,KX2450000
"1,2-Epoxy propane",75-56-9,TZ2975000
"1,2-Epoxy-3-butoxypropane",2426-08-6,TX4200000
"1,2-Epoxy-3-isopropoxypropane",4016-14-2,TZ3500000
"1,2-Epoxy-3-phenoxy propane",122-60-1,TZ3675000
"1,2-Ethanediamine",107-15-3,KH8575000
"1,2-Ethanediol",107-21-1,KW2975000
"1,2-Ethanediol dinitrate",628-96-6,KW5600000
"1,3-Ethylene-2-thiourea",96-45-7,NI9625000
"1,4-Epoxybutane",109-99-9,LU5950000
"1-Epoxyethyl-3,4-epoxy-cyclohexane",106-87-6,RN8640000
"2,3-Epoxy-1-propanol",556-52-5,UB4375000
2-Epoxypropyl ether,2238-07-5,KN2350000
2-Ethoxyethanol*,110-80-5,KK8050000
2-Ethoxyethyl acetate*,111-15-9,KK8225000
4-Ethylmorpholine,100-74-3,QE4025000
5-Ethylidene-2-norbornene,16219-75-3,RB9450000
5-Ethylidenebicyclo(2.2.1)hept-2-ene,16219-75-3,RB9450000
"bis(2,3-Epoxypropyl) ether",2238-07-5,KN2350000
EGBE,111-76-2,KJ8575000
EGBEA,112-07-2,KJ8925000
EGDN,628-96-6,KW5600000
EGEE,110-80-5,KK8050000
EGEEA,111-15-9,KK8225000
EGME,109-86-4,KL5775000
EGMEA,110-49-6,KL5950000
Ektasolve EB®,111-76-2,KJ8575000
Ektasolve EB® acetate,112-07-2,KJ8925000
Elemental aluminum,7429-90-5,BD0330000
Elemental hafnium,7440-58-6,MG4600000
Elemental nickel,7440-02-0 (Metal),QR5950000 (Metal)
Elemental phosphorus,7723-14-0,TH3500000
Elemental rhodium,7440-16-6 (metal),VI9069000 (metal)
Elemental selenium,7782-49-2,VS7700000
